"Family","Candidates","Eligible_candidates","Best_model","Selected_family","Best_temporal_RMSE","Best_delta_RMSE","Best_temporal_MAE","Best_temporal_R2","Best_latest_RMSE","Best_latest_R2","Temporal_status","Best_tuned_parameters"
"Stacked validation ensemble",1,0,"Growth stacked ensemble","","4.548","-0.028","3.617","0.169","4.594","0.135","Stable temporal validation","members=Growth gradient boosting 1 + Growth ranger forest 1 + Growth MARS 2 + Growth GAM k4 + Growth elastic net + Growth feature discovery model; internal folds=3"
"Validation ensemble",3,3,"Growth ensemble discovery weighted","Yes","4.576","0.000","3.649","0.160","4.646","0.115","Stable temporal validation","Growth gradient boosting 1 weight=2; Growth ranger forest 1 weight=2; Growth MARS 2 weight=1; Growth GAM k4 weight=1; Growth elastic net weight=1; Growth feature discovery model weight=1"
"Non-parametric boosting",2,2,"Growth gradient boosting 1","","4.603","0.027","3.678","0.151","4.727","0.084","Stable temporal validation","trees=150; depth=2; shrinkage=0.04; minobs=10"
"Regularized regression",3,3,"Growth elastic net","","4.609","0.033","3.685","0.148","4.699","0.095","Stable temporal validation","alpha=0.50"
"EOY-derived benchmark",2,0,"EOY interaction benchmark","","4.616","0.040","3.698","0.145","4.616","0.127","Stable temporal validation","predicts EOY then subtracts BOY"
"Adaptive spline MARS",2,2,"Growth MARS 2","","4.626","0.050","3.633","0.137","4.618","0.126","Stable temporal validation","degree=2; nprune=28"
"Parametric polynomial",2,2,"Growth polynomial degree 3","","4.631","0.055","3.713","0.141","4.591","0.136","Stable temporal validation","degree=3"
"Semi-parametric GAM",1,1,"Growth GAM k4","","4.632","0.056","3.727","0.140","4.617","0.126","Stable temporal validation","k=4; adds history/composition smooths"
"Parametric linear",2,2,"Growth readiness model","","4.633","0.057","3.727","0.139","4.626","0.123","Stable temporal validation","adds BOY readiness"
"Parametric interactions",1,1,"Growth interaction model","","4.643","0.066","3.715","0.135","4.614","0.127","Stable temporal validation","track/readiness/attendance interactions"
"Non-parametric ranger forest",1,1,"Growth ranger forest 1","","4.647","0.071","3.741","0.133","4.685","0.100","Stable temporal validation","trees=100; mtry=6; min_node_size=8"
"Leakage benchmark",1,0,"Teacher/course leakage benchmark","","4.655","0.079","3.743","0.131","4.658","0.111","Stable temporal validation","includes persistent IDs"
"Natural spline regression",1,1,"Growth spline history model","","4.684","0.108","3.772","0.122","4.578","0.141","Stable temporal validation","natural splines for BOY, readiness, history, and section mix"
"Parametric cyclic",1,1,"Growth cyclic interaction model","","4.717","0.141","3.769","0.110","4.617","0.126","Stable temporal validation","track-specific sine/cosine terms"
"Non-parametric tree",2,2,"Growth regression tree 1","","4.753","0.177","3.823","0.092","4.832","0.043","Stable temporal validation","cp=0.01; minbucket=8; maxdepth=5"
"Parametric history/composition",2,2,"Growth history-composition model","","4.928","0.352","3.912","0.023","4.616","0.127","Stable temporal validation","multi-year student history and BOY section composition"
"Naive baseline",1,0,"Naive prior-year mean growth","","5.002","0.426","4.058","-0.002","4.960","-0.008","Stable temporal validation","training-year mean score gain"
"Feature-engineered parametric",1,1,"Growth feature discovery model","","5.199","0.623","4.098","-0.093","4.693","0.097","Stable temporal validation","thresholds, polynomial terms, multi-year history, and interaction search"
"Lagged teacher/course context",1,0,"Growth future planning benchmark","","5.559","0.983","4.386","-0.256","4.712","0.090","Stable temporal validation","future-only lagged teacher/course context"
"Non-parametric random forest",1,1,"Growth random forest 1","","6.247","1.671","5.125","-0.604","5.645","-0.306","Stable temporal validation","ntree=100; mtry=4; nodesize=10"
